"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 10-Jan-2023"
"NIFTY 50","21,688.00","21,726.50","21,593.75","21,618.70","21,647.20","28.50","0.13","21,24,53,866","23,492.03","21,834.35","16,828.35","2.96","20.68"
"HEROMOTOCO","4,175.00","4,395.00","4,162.00","4,138.05","4,330.00","191.95","4.64","21,33,475","918.31","4,395.00","2,246.00","11.70","52.58"
"BAJAJ-AUTO","7,090.00","7,324.90","7,075.00","7,053.75","7,295.00","241.25","3.42","10,31,594","746.70","7,399.00","3,520.05","14.91","97.35"
"RELIANCE","2,659.00","2,725.00","2,657.00","2,650.10","2,716.00","65.90","2.49","1,18,62,926","3,197.92","2,856.00","2,180.00","7.76","3.58"
"BPCL","453.90","461.20","453.20","451.25","458.60","7.35","1.63","78,75,626","360.26","482.50","314.05","-3.06","29.91"
"AXISBANK","1,111.05","1,127.90","1,111.05","1,107.00","1,125.00","18.00","1.63","46,83,035","525.75","1,151.85","814.30","-0.85","16.26"
"INDUSINDBK","1,643.95","1,668.20","1,642.55","1,640.15","1,660.90","20.75","1.27","19,14,421","317.54","1,668.20","990.00","7.77","33.61"
"EICHERMOT","3,868.80","3,924.70","3,852.45","3,842.55","3,888.75","46.20","1.20","3,78,237","147.46","4,200.00","2,836.00","-4.55","21.31"
"ULTRACEMCO","9,839.90","9,944.95","9,719.15","9,776.20","9,890.00","113.80","1.16","3,75,210","369.41","10,526.00","6,604.10","1.09","41.27"
"POWERGRID","240.25","243.10","239.20","239.15","241.75","2.60","1.09","1,88,12,468","453.38","245.25","156.75","3.55","12.91"
"APOLLOHOSP","5,804.00","5,892.00","5,802.25","5,800.90","5,861.75","60.85","1.05","2,13,210","124.76","5,892.00","4,123.00","4.57","29.87"
"BRITANNIA","5,102.90","5,186.40","5,076.55","5,086.65","5,132.00","45.35","0.89","2,77,823","142.81","5,386.05","4,153.00","2.88","17.56"
"TATAMOTORS","813.50","817.50","808.45","808.45","815.25","6.80","0.84","1,10,75,167","901.10","817.50","400.00","12.16","95.80"
"GRASIM","2,069.95","2,096.30","2,051.00","2,068.55","2,085.00","16.45","0.80","8,87,806","184.43","2,175.00","1,527.05","-0.74","25.29"
"UPL","561.95","566.15","560.55","558.60","562.90","4.30","0.77","16,20,693","91.27","780.00","528.15","-7.27","-22.91"
"TATASTEEL","134.85","135.65","134.20","134.10","135.10","1.00","0.75","2,31,13,349","312.15","141.25","101.55","3.11","12.83"
"TECHM","1,240.90","1,261.80","1,240.90","1,240.90","1,249.00","8.10","0.65","9,30,492","116.48","1,333.05","981.05","0.62","23.76"
"COALINDIA","385.50","388.90","383.30","382.05","384.35","2.30","0.60","91,63,771","353.25","395.85","207.60","8.03","76.26"
"TATACONSUM","1,117.00","1,124.95","1,112.05","1,113.95","1,120.00","6.05","0.54","10,84,035","121.25","1,131.15","686.60","17.20","44.81"
"LTIM","5,978.35","5,998.90","5,913.05","5,947.50","5,969.60","22.10","0.37","2,32,299","138.40","6,356.00","4,121.00","3.06","40.55"
"TCS","3,724.00","3,773.00","3,707.00","3,713.05","3,726.70","13.65","0.37","17,77,909","664.66","3,929.00","3,070.25","1.93","12.98"
"KOTAKBANK","1,832.00","1,841.40","1,815.35","1,820.80","1,823.25","2.45","0.13","41,70,070","762.85","2,064.40","1,643.50","-1.26","1.41"
"DIVISLAB","3,902.65","3,942.90","3,881.70","3,902.65","3,906.00","3.35","0.09","2,38,212","93.15","4,074.40","2,730.00","6.32","11.45"
"NTPC","314.95","317.30","312.35","313.35","313.50","0.15","0.05","1,03,16,319","324.30","325.65","162.55","9.07","86.57"
